               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11634,            0.044744,            0.027235,            0.001033,             0.10962,          0.00082819,           0.0001988,             0.10878,            0.043772,             0.02746,           0.0032609,           0.0032609,            0.070652
                   1,             0.10807,             0.04825,            0.024359,            0.002354,             0.21493,           0.0056508,           0.0013947,             0.10667,            0.041207,             0.02747,           0.0065833,           0.0065833,            0.040641
                   2,             0.10066,            0.048793,            0.021042,             0.58367,            0.072721,            0.049886,            0.013771,            0.095734,            0.040618,            0.018981,           0.0098948,           0.0098948,            0.010619
                   3,            0.091738,            0.045509,            0.017142,             0.13112,             0.28933,             0.10346,            0.027564,            0.086674,            0.049083,            0.013804,           0.0099505,           0.0099505,           0.0099505
                   4,            0.086696,            0.042312,            0.014208,             0.21087,             0.30953,             0.15543,            0.046307,            0.083543,            0.043807,            0.011327,           0.0099505,           0.0099505,           0.0099505
                   5,            0.079313,            0.039496,            0.010979,             0.42539,             0.40737,             0.32815,             0.11974,            0.065817,            0.036501,           0.0074499,            0.009934,            0.009934,            0.009934
                   6,            0.070788,            0.039155,           0.0088301,             0.35949,             0.42944,             0.31196,             0.12648,            0.071027,            0.044058,           0.0064606,           0.0099175,           0.0099175,           0.0099175
                   7,            0.069618,            0.034765,           0.0074204,             0.54623,             0.56937,             0.53929,              0.1974,            0.062526,            0.032931,           0.0067795,            0.009901,            0.009901,            0.009901
                   8,            0.063647,            0.032577,           0.0063462,             0.57581,             0.70292,             0.61869,             0.26128,            0.052049,            0.027791,           0.0049785,           0.0098845,           0.0098845,           0.0098845
                   9,            0.061483,            0.032146,           0.0060575,             0.62771,             0.59778,             0.56268,             0.22987,            0.052224,            0.026066,           0.0046443,            0.009868,            0.009868,            0.009868
                  10,            0.056385,            0.030948,           0.0054481,              0.7192,             0.72039,             0.71944,             0.35309,             0.04612,            0.023944,           0.0041401,           0.0098515,           0.0098515,           0.0098515
                  11,            0.057259,            0.030071,           0.0051058,             0.74272,             0.68286,             0.72097,             0.28177,             0.04683,            0.028093,            0.004055,            0.009835,            0.009835,            0.009835
                  12,            0.055226,            0.029451,            0.005094,             0.79611,             0.72859,             0.79025,             0.41353,            0.047295,            0.023121,           0.0038003,           0.0098185,           0.0098185,           0.0098185
                  13,            0.053841,            0.028044,           0.0046944,             0.79917,             0.68111,             0.74119,             0.31909,            0.046459,             0.02278,           0.0035848,            0.009802,            0.009802,            0.009802
                  14,            0.051671,            0.027325,           0.0043618,             0.86402,             0.76517,             0.81445,             0.46278,             0.04083,            0.022414,           0.0042569,           0.0097855,           0.0097855,           0.0097855
                  15,            0.049034,            0.027527,           0.0044499,             0.85522,             0.77303,             0.82476,             0.43024,            0.039672,            0.021181,           0.0039641,            0.009769,            0.009769,            0.009769
                  16,            0.048694,            0.027442,           0.0037226,             0.85606,             0.74962,             0.82098,             0.44702,            0.039879,            0.021263,           0.0035534,           0.0097525,           0.0097525,           0.0097525
                  17,            0.049025,            0.027492,            0.004252,             0.83644,             0.76988,             0.79886,             0.38148,            0.040678,            0.021531,           0.0031814,            0.009736,            0.009736,            0.009736
                  18,            0.048026,            0.026765,           0.0039581,             0.89565,             0.78552,              0.8533,             0.50929,            0.036092,            0.020179,           0.0033209,           0.0097195,           0.0097195,           0.0097195
                  19,            0.045203,            0.025387,           0.0038698,             0.92811,             0.80005,             0.87543,             0.45152,            0.036878,            0.020458,           0.0031526,            0.009703,            0.009703,            0.009703
                  20,            0.044517,            0.024672,           0.0036203,             0.87767,             0.79549,             0.84979,             0.49732,            0.034776,             0.01972,            0.002913,           0.0096865,           0.0096865,           0.0096865
                  21,            0.043629,            0.025288,           0.0036954,              0.9037,             0.80075,             0.86713,             0.47935,            0.036302,            0.019626,           0.0029516,             0.00967,             0.00967,             0.00967
                  22,            0.045069,            0.024774,           0.0035063,             0.92018,             0.79229,             0.86602,             0.52738,            0.033886,            0.019275,           0.0033258,           0.0096535,           0.0096535,           0.0096535
                  23,            0.043348,            0.024442,           0.0038572,             0.95138,             0.78073,             0.87874,             0.53768,             0.03323,            0.018459,           0.0029664,            0.009637,            0.009637,            0.009637
                  24,            0.041433,            0.025547,           0.0036025,             0.93398,             0.80702,             0.87767,             0.51745,            0.032904,            0.018304,           0.0029144,           0.0096205,           0.0096205,           0.0096205
                  25,            0.040493,            0.022697,             0.00334,             0.94255,              0.8204,             0.89056,             0.55755,            0.031623,            0.018829,           0.0026574,            0.009604,            0.009604,            0.009604
                  26,            0.040508,            0.023845,           0.0033097,             0.92383,             0.81681,             0.88166,             0.57221,            0.032308,            0.018483,           0.0029097,           0.0095875,           0.0095875,           0.0095875
                  27,              0.0404,            0.023781,           0.0033295,             0.93417,             0.81652,             0.89287,             0.56927,            0.030318,             0.01768,           0.0025193,            0.009571,            0.009571,            0.009571
                  28,            0.039554,             0.02265,           0.0034129,             0.93533,             0.81192,             0.90659,             0.57999,            0.029862,            0.017552,           0.0024442,           0.0095545,           0.0095545,           0.0095545
                  29,            0.038885,            0.024627,           0.0033772,             0.92201,             0.83606,             0.89253,             0.58005,            0.031879,            0.017638,           0.0022036,            0.009538,            0.009538,            0.009538
                  30,            0.041344,            0.023485,           0.0032478,             0.91792,             0.82141,             0.89457,             0.54612,            0.030292,            0.017592,           0.0023516,           0.0095215,           0.0095215,           0.0095215
                  31,            0.039012,            0.022722,           0.0031429,             0.91562,             0.83183,             0.89812,             0.58452,            0.032134,            0.017701,           0.0021055,            0.009505,            0.009505,            0.009505
                  32,            0.038013,            0.021895,           0.0031917,             0.91312,             0.86741,             0.92002,             0.60211,            0.028935,            0.017378,           0.0023572,           0.0094885,           0.0094885,           0.0094885
                  33,            0.038441,             0.02223,           0.0032015,             0.95241,             0.83162,              0.9015,             0.60051,            0.030955,            0.017552,           0.0023169,            0.009472,            0.009472,            0.009472
                  34,            0.038167,            0.023495,           0.0031571,             0.94448,             0.83818,             0.89764,             0.61994,            0.028021,            0.017096,           0.0024763,           0.0094555,           0.0094555,           0.0094555
                  35,            0.035292,            0.022121,           0.0029636,             0.94051,             0.83154,             0.90757,             0.57074,            0.030066,            0.016915,           0.0020059,            0.009439,            0.009439,            0.009439
                  36,            0.036375,            0.022109,           0.0029405,             0.94399,             0.83672,             0.91034,             0.59154,            0.028315,             0.01679,           0.0021455,           0.0094225,           0.0094225,           0.0094225
                  37,             0.03748,            0.021769,           0.0030266,             0.95828,             0.83956,             0.90415,             0.60538,            0.030085,            0.016422,           0.0026253,            0.009406,            0.009406,            0.009406
                  38,            0.036235,            0.022719,           0.0032267,             0.94008,             0.83737,              0.9084,             0.62322,            0.026802,            0.016059,            0.002229,           0.0093895,           0.0093895,           0.0093895
                  39,            0.037446,            0.023078,           0.0030253,             0.95659,              0.8388,             0.91709,              0.6086,            0.029235,            0.016242,           0.0022311,            0.009373,            0.009373,            0.009373
                  40,             0.03567,            0.021555,           0.0030761,             0.93152,              0.8804,             0.91545,             0.59005,             0.02967,            0.016364,           0.0022508,           0.0093565,           0.0093565,           0.0093565
                  41,              0.0371,            0.023367,           0.0029942,             0.94127,             0.87371,             0.91372,             0.61987,            0.029164,            0.016145,           0.0022145,             0.00934,             0.00934,             0.00934
                  42,            0.035586,             0.02067,           0.0029529,             0.93328,             0.84737,             0.90161,             0.63976,            0.026074,            0.015962,            0.002257,           0.0093235,           0.0093235,           0.0093235
                  43,            0.034529,            0.021226,           0.0026926,             0.94287,             0.85135,             0.91535,             0.59502,            0.030822,            0.016529,            0.002013,            0.009307,            0.009307,            0.009307
                  44,            0.034191,            0.021448,           0.0028113,             0.97271,             0.83008,             0.91538,             0.60792,            0.028645,            0.016418,           0.0020113,           0.0092905,           0.0092905,           0.0092905
                  45,            0.036407,            0.021759,           0.0027831,             0.94634,             0.85332,             0.91221,             0.61516,            0.030271,             0.01625,           0.0020259,            0.009274,            0.009274,            0.009274
                  46,            0.033503,            0.021667,           0.0027623,             0.91418,             0.85611,             0.90262,             0.64579,            0.025408,             0.01587,           0.0023165,           0.0092575,           0.0092575,           0.0092575
                  47,            0.035482,            0.021529,           0.0030048,             0.93105,             0.87308,             0.91595,             0.62102,            0.028479,            0.015636,           0.0020829,            0.009241,            0.009241,            0.009241
                  48,            0.034445,            0.020972,           0.0027409,             0.93507,             0.87446,             0.91739,             0.62735,            0.026862,            0.015866,             0.00221,           0.0092245,           0.0092245,           0.0092245
                  49,            0.034141,            0.021605,           0.0024677,             0.94916,             0.88279,             0.92921,             0.65628,            0.025654,            0.015895,           0.0020411,            0.009208,            0.009208,            0.009208
                  50,            0.034012,            0.021378,           0.0027711,             0.95828,              0.8401,              0.9124,             0.63799,            0.027277,            0.016153,           0.0017492,           0.0091915,           0.0091915,           0.0091915
                  51,            0.033628,            0.021007,           0.0024854,             0.96064,             0.85024,             0.90947,             0.64437,            0.026858,             0.01617,           0.0016449,            0.009175,            0.009175,            0.009175
                  52,            0.033959,            0.020948,            0.002618,             0.91682,             0.88547,             0.92339,             0.65896,            0.025496,            0.015319,           0.0018135,           0.0091585,           0.0091585,           0.0091585
                  53,            0.031741,            0.019995,            0.002518,             0.94946,              0.8797,             0.92448,             0.64531,            0.028005,             0.01563,            0.001739,            0.009142,            0.009142,            0.009142
                  54,            0.033042,            0.020353,           0.0027134,             0.95878,             0.87749,             0.91908,             0.64463,            0.024594,             0.01504,           0.0018305,           0.0091255,           0.0091255,           0.0091255
                  55,            0.033797,            0.020249,           0.0029185,             0.96309,             0.86533,             0.91217,             0.65717,            0.025411,            0.015472,           0.0016478,            0.009109,            0.009109,            0.009109
                  56,            0.031741,             0.02051,           0.0026994,             0.94481,             0.88978,               0.919,             0.63755,            0.024993,            0.015328,           0.0019023,           0.0090925,           0.0090925,           0.0090925
                  57,            0.032352,            0.019494,           0.0025466,             0.93363,             0.87926,             0.92028,             0.66217,             0.02472,             0.01485,           0.0018189,            0.009076,            0.009076,            0.009076
                  58,            0.031995,             0.01839,           0.0024392,             0.94951,             0.88078,             0.91413,             0.65631,            0.023994,            0.015356,           0.0021208,           0.0090595,           0.0090595,           0.0090595
                  59,            0.032931,            0.020566,           0.0025822,             0.95635,             0.87824,             0.93191,             0.66331,            0.024874,            0.015105,           0.0018176,            0.009043,            0.009043,            0.009043
                  60,            0.031066,            0.019207,           0.0026341,             0.93642,             0.88913,             0.92574,             0.68512,            0.024414,            0.014952,           0.0021894,           0.0090265,           0.0090265,           0.0090265
                  61,            0.031264,            0.019381,           0.0025465,             0.95175,             0.90066,              0.9318,             0.69471,            0.023015,            0.014468,           0.0018106,             0.00901,             0.00901,             0.00901
                  62,             0.03036,             0.02013,           0.0026495,             0.93372,             0.89199,             0.93268,             0.68816,            0.023268,            0.014762,           0.0020443,           0.0089935,           0.0089935,           0.0089935
                  63,            0.031847,            0.019131,           0.0025153,             0.96732,             0.87992,             0.92977,             0.67469,            0.023709,            0.015201,           0.0017896,            0.008977,            0.008977,            0.008977
                  64,            0.030354,            0.020022,           0.0024138,             0.96433,             0.85903,             0.92521,             0.68835,            0.022987,            0.014853,           0.0022766,           0.0089605,           0.0089605,           0.0089605
                  65,            0.030837,            0.018873,           0.0027502,             0.94716,             0.88065,             0.91865,             0.66813,            0.023938,            0.014713,           0.0018518,            0.008944,            0.008944,            0.008944
                  66,            0.032483,            0.020689,           0.0029077,             0.94591,             0.87984,              0.9222,             0.66736,            0.024259,            0.014597,           0.0018124,           0.0089275,           0.0089275,           0.0089275
                  67,            0.031829,            0.018753,           0.0024058,              0.9447,             0.87147,             0.92855,             0.67412,            0.024985,            0.014938,           0.0016414,            0.008911,            0.008911,            0.008911
                  68,            0.030179,             0.01907,           0.0026956,             0.94268,             0.89727,             0.93347,             0.68576,            0.023626,            0.014544,           0.0016312,           0.0088945,           0.0088945,           0.0088945
                  69,            0.030843,            0.019873,           0.0025479,             0.94915,             0.88338,             0.93031,             0.67243,            0.025281,            0.014305,           0.0016732,            0.008878,            0.008878,            0.008878
                  70,             0.03148,            0.018182,           0.0024393,             0.94065,             0.87656,             0.92148,             0.66108,            0.023741,            0.014604,            0.001822,           0.0088615,           0.0088615,           0.0088615
                  71,            0.030504,            0.019251,           0.0023922,              0.9368,              0.8935,             0.93153,             0.69259,            0.023247,            0.014323,           0.0016118,            0.008845,            0.008845,            0.008845
