               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11617,             0.04509,            0.027069,           0.0011462,              0.1176,          0.00080313,          0.00022333,             0.10868,            0.043863,            0.027471,           0.0032609,           0.0032609,            0.070652
                   1,             0.10741,            0.048717,            0.024176,           0.0030219,             0.20753,           0.0030425,          0.00087506,             0.10676,            0.041349,            0.026887,           0.0065289,           0.0065289,            0.040587
                   2,            0.099425,            0.048399,            0.020896,             0.17815,             0.10132,            0.054913,            0.015133,            0.099803,            0.042166,            0.019885,            0.009731,            0.009731,            0.010456
                   3,            0.092581,            0.044701,            0.016919,            0.095285,             0.32887,            0.092452,            0.025969,            0.094713,            0.036662,            0.015159,            0.009703,            0.009703,            0.009703
                   4,            0.085146,            0.042128,            0.013515,             0.24917,             0.35274,             0.20994,            0.066182,             0.08259,            0.047868,            0.010813,            0.009703,            0.009703,            0.009703
                   5,            0.078904,            0.039445,            0.009656,             0.36612,             0.46367,             0.35662,             0.12278,            0.069753,             0.03627,           0.0066057,            0.009604,            0.009604,            0.009604
                   6,            0.070709,            0.037602,           0.0077938,             0.55299,             0.54842,             0.52468,             0.20873,            0.061919,            0.035369,           0.0051757,            0.009505,            0.009505,            0.009505
                   7,              0.0664,            0.033376,            0.006721,             0.61551,             0.62477,             0.57342,             0.24579,            0.060327,            0.029174,           0.0044285,            0.009406,            0.009406,            0.009406
                   8,            0.062401,            0.031519,           0.0055729,             0.65155,             0.65976,             0.61944,             0.19955,            0.055877,            0.026992,           0.0039872,            0.009307,            0.009307,            0.009307
                   9,            0.060897,            0.032091,           0.0056309,             0.74713,             0.67609,             0.71599,              0.3184,            0.050813,            0.024956,           0.0035056,            0.009208,            0.009208,            0.009208
                  10,            0.055598,            0.031179,           0.0049052,             0.82476,             0.73689,              0.7839,             0.38512,            0.043986,            0.024067,           0.0038694,            0.009109,            0.009109,            0.009109
                  11,            0.054457,            0.030273,           0.0048872,             0.71922,             0.71285,             0.74719,             0.36283,            0.046652,            0.024372,           0.0033035,             0.00901,             0.00901,             0.00901
                  12,            0.053729,            0.029192,           0.0049155,             0.84166,             0.74793,             0.79715,              0.3581,            0.044242,            0.023031,           0.0032902,            0.008911,            0.008911,            0.008911
                  13,            0.051088,            0.028157,           0.0043629,             0.84048,             0.76333,             0.81329,             0.40097,            0.042765,            0.021682,           0.0028437,            0.008812,            0.008812,            0.008812
                  14,            0.048796,            0.027303,           0.0041994,             0.88876,             0.79528,             0.85216,             0.45136,            0.036712,            0.021874,           0.0035964,            0.008713,            0.008713,            0.008713
                  15,            0.050397,            0.028195,           0.0043051,             0.85288,             0.80983,             0.83829,             0.45818,            0.040736,             0.02187,           0.0028895,            0.008614,            0.008614,            0.008614
                  16,            0.046198,             0.02668,           0.0036841,             0.90166,             0.75491,             0.84629,             0.46748,            0.040896,            0.021802,           0.0026642,            0.008515,            0.008515,            0.008515
